City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
285,Bambanglipuro,ID,-7.95,110.2833,84.29,70,100,6.76,overcast clouds
286,Amuntai,ID,-2.4177,115.2494,83.59,72,100,5.5,overcast clouds
287,Poum,NC,-20.2333,164.0167,79.48,73,4,17.9,clear sky
288,Grindavik,IS,63.8424,-22.4338,28.87,80,75,4.61,broken clouds
289,Davila,PH,18.4726,120.5763,85.98,77,72,28.52,broken clouds
290,Yanam,IN,16.7333,82.2167,79.97,66,89,9.71,overcast clouds
291,Ucluelet,CA,48.9329,-125.5528,32.09,90,11,4.9,few clouds
292,Airai,TL,-8.9266,125.4092,69.44,81,99,1.79,overcast clouds
293,Miandrivazo,MG,-19.5167,45.4667,79.79,79,7,1.63,clear sky
294,Salta,AR,-24.7859,-65.4117,69.58,89,75,2.3,light rain
295,Barcelona,ES,41.3888,2.159,42.55,68,0,11.5,clear sky
296,Den Helder,NL,52.9599,4.7593,44.98,80,20,25.99,few clouds
297,Foam Lake,CA,51.65,-103.5343,-14.78,96,54,9.46,broken clouds
298,Hami,CN,42.8,93.45,24.87,26,24,0.69,few clouds
299,Kalmunai,LK,7.4167,81.8167,79.81,77,80,10.47,broken clouds
300,Cuamba,MZ,-14.8031,36.5372,70.93,95,98,1.28,light rain
301,Hrubieszow,PL,50.805,23.8925,30.24,80,100,14.03,overcast clouds
302,Palana,RU,59.1167,159.9667,27.66,74,95,18.97,overcast clouds
303,Jingdezhen,CN,29.2947,117.2079,58.68,26,0,2.8,clear sky
304,Bengkulu,ID,-3.8004,102.2655,84.94,64,93,8.75,overcast clouds
305,Divo,CI,5.8397,-5.36,71.78,95,98,2.73,overcast clouds
306,Pevek,RU,69.7008,170.3133,5.25,86,78,3.2,broken clouds
307,Gravdal,NO,68.1214,13.5031,30.09,74,0,10.36,clear sky
308,Vanimo,PG,-2.6741,141.3028,83.86,73,63,7.16,broken clouds
309,Dole,FR,47.0833,5.5,28.49,93,100,4.61,overcast clouds
310,Katghora,IN,22.5,82.55,83.21,26,5,2.44,clear sky
311,Nizhnyaya Omka,RU,55.4338,74.9426,3.02,95,11,8.5,few clouds
312,Egvekinot,RU,66.3167,-179.1667,21.24,91,100,14.94,snow
313,San Patricio,US,28.017,-97.5169,69.91,95,16,7.45,few clouds
314,Sesheke,ZM,-17.4759,24.2968,67.55,86,100,4.07,overcast clouds
315,Pattukkottai,IN,10.4333,79.3167,82.06,66,90,10.63,overcast clouds
316,Barguzin,RU,53.6167,109.6167,17.02,91,98,3.0,light snow
317,Bahia Blanca,AR,-38.7196,-62.2724,79.29,50,0,1.99,clear sky
318,Athabasca,CA,54.7169,-113.2854,1.81,88,100,13.82,overcast clouds
319,Watsa,CD,3.0372,29.5355,64.22,64,20,3.15,few clouds
320,Macamic,CA,48.7502,-78.9996,-10.3,100,81,3.0,broken clouds
321,Inongo,CD,-1.95,18.2667,71.24,87,100,1.54,overcast clouds
322,Marsh Harbour,BS,26.5412,-77.0636,74.57,82,18,12.82,few clouds
323,Lieto,FI,60.5103,22.4618,38.97,97,100,13.8,overcast clouds
324,Almas,RO,46.2833,22.2333,28.54,91,99,2.91,overcast clouds
325,Taltal,CL,-25.4,-70.4833,65.19,84,23,2.15,few clouds
326,Banda Aceh,ID,5.5577,95.3222,83.97,73,41,8.48,scattered clouds
327,Orje,NO,59.4802,11.6602,34.36,65,17,12.77,few clouds
328,Ossora,RU,59.2353,163.0719,30.04,85,100,25.66,overcast clouds
329,Bathsheba,BB,13.2167,-59.5167,74.01,78,20,9.22,few clouds
330,Guerrero Negro,MX,27.9769,-114.0611,56.44,72,0,6.51,clear sky
331,Rock Sound,BS,24.9,-76.2,76.19,75,3,19.3,clear sky
332,Yerbogachen,RU,61.2767,108.0108,6.82,93,100,6.24,overcast clouds
333,Port Augusta,AU,-32.5,137.7667,76.01,60,100,14.18,overcast clouds
334,Eenhana,NA,-17.4667,16.3333,66.79,90,93,3.65,overcast clouds
335,Bella Union,UY,-30.2752,-57.6007,75.4,37,100,7.43,overcast clouds
336,Griffith,US,41.5284,-87.4237,27.1,84,100,10.36,overcast clouds
337,Saint-Denis,FR,48.9167,2.3333,40.75,91,100,11.5,overcast clouds
338,Luwuk,ID,-0.9516,122.7875,84.33,72,100,2.15,overcast clouds
339,Avera,US,33.194,-82.5271,48.38,99,100,2.89,light rain
340,Dubbo,AU,-32.25,148.6167,75.33,83,75,9.22,light rain
341,Hrebinka,UA,50.1171,32.4361,24.06,83,48,7.0,scattered clouds
342,Sibolga,ID,1.7427,98.7792,86.11,63,86,3.89,overcast clouds
343,Timra,SE,62.487,17.3257,37.08,81,0,8.05,clear sky
344,Kushiro,JP,42.975,144.3747,22.15,45,20,11.5,few clouds
345,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,73.27,96,64,5.82,broken clouds
